country,Year,Enrolments,Enrolments(%),latitude,longitude,dest_lat,dest_long
China,2020,1680609,37.16,35.86166,104.195397,-25.274399,133.775131
India,2020,885377,19.58,20.593684,78.96288,-25.274399,133.775131
Nepal,2020,372719,8.24,28.394857,84.124008,-25.274399,133.775131
Vietnam,2020,169832,3.76,14.058324,108.277199,-25.274399,133.775131
Malaysia,2020,126795,2.81,4.210484,101.975766,-25.274399,133.775131
Pakistan,2020,114772,2.54,30.375321,69.345116,-25.274399,133.775131
Sri Lanka,2020,113486,2.51,7.873054,80.771797,-25.274399,133.775131
Indonesia,2020,111403,2.47,-0.789275,113.921327,-25.274399,133.775131
Hong Kong,2020,99499,2.2,22.396428,114.109497,-25.274399,133.775131
Singapore,2020,74150,1.64,1.352083,103.819836,-25.274399,133.775131
Bangladesh,2020,65298,1.45,23.684994,90.356331,-25.274399,133.775131
South Korea,2020,59105,1.31,37.532600,127.7669,-25.274399,133.775131
Philippines,2020,49007,1.09,12.879721,121.774017,-25.274399,133.775131
Saudi Arabia,2020,48217,1.07,23.885942,45.079162,-25.274399,133.775131
Taiwan,2020,39059,0.87,23.69781,120.960515,-25.274399,133.775131
