university,Sector,Positive Exp(%)
Monash University,Skills Development,73.3
Monash University,Learner Engagement,42.8
Monash University,Teaching Quality,71.3
Monash University,Student Support,66.3
Monash University,Learning Resources,72.6
Monash University,Entire experience,61.8
Australian National University,Skills Development,74.3
Australian National University,Learner Engagement,35.5
Australian National University,Teaching Quality,70.9
Australian National University,Student Support,65.5
Australian National University,Learning Resources,67.4
Australian National University,Entire experience,61.1
University of Adelaide,Skills Development,74.9
University of Adelaide,Learner Engagement,41.8
University of Adelaide,Teaching Quality,73.5
University of Adelaide,Student Support,69.4
University of Adelaide,Learning Resources,73.6
University of Adelaide,Entire experience,64.9
University of Melbourne,Skills Development,67.5
University of Melbourne,Learner Engagement,31.1
University of Melbourne,Teaching Quality,70.5
University of Melbourne,Student Support,55.2
University of Melbourne,Learning Resources,63
University of Melbourne,Entire experience,53.7
University of Queensland,Skills Development,73.8
University of Queensland,Learner Engagement,33.4
University of Queensland,Teaching Quality,77.4
University of Queensland,Student Support,66.6
University of Queensland,Learning Resources,76
University of Queensland,Entire experience,66.2
University of Sydney,Skills Development,71.7
University of Sydney,Learner Engagement,39.8
University of Sydney,Teaching Quality,68.7
University of Sydney,Student Support,56
University of Sydney,Learning Resources,74.3
University of Sydney,Entire experience,60.1
UNSW Sydney,Skills Development,74.8
UNSW Sydney,Learner Engagement,42.5
UNSW Sydney,Teaching Quality,76.4
UNSW Sydney,Student Support,69.6
UNSW Sydney,Learning Resources,73.2
UNSW Sydney,Entire experience,66.5
University of Western Australia,Skills Development,76.7
University of Western Australia,Learner Engagement,45.8
University of Western Australia,Teaching Quality,78.8
University of Western Australia,Student Support,71.6
University of Western Australia,Learning Resources,75.6
University of Western Australia,Entire experience,65.3
