university,type,aud
University of Western Australia,low,33000
University of Western Australia,high,42800
Monash University,low,37000
Monash University,high,45000
Australian National University,low,46000
Australian National University,high,48000
University of Adelaide,low,45000
University of Adelaide,high,48000
University of Melbourne,low,45000
University of Melbourne,high,47000
UNSW Sydney,low,7000
UNSW Sydney,high,11000
University of Queensland,low,33100
University of Queensland,high,47800
University of Sydney,low,50000
University of Sydney,high,54000
